[1.4238829933740305, 0.0]
[3.0809116766224363, 0.654867992791888]
[1.4698296523739687, 0.6544103237539647]
[2.292090299449904, 1.665301080578898]
[0.5749873198548667, 0.6385881132989109]
[1.9143482979269495, 3.3157485153924777]
[1.5213516733048822, 4.6822389991844595]
[0.0004428151978786098, 0.004213105178485777]
[-0.38276512572196597, 3.641766906485117]
[-0.529824959058187, 1.6306335540779355]
[-1.7360852073037274, 3.0069877853188043]
[-2.871836114192447, 3.189497128960573]
[-2.176311703279127, 1.5811830066280705]
[-0.9292445184638508, 0.4137263152858244]
[-0.87010541738019, 0.18494661580879307]
[-0.3725372053607984, 4.562264961084019e-17]
[-4.680849222980801, -0.9949452165325925]
[-0.038887612834786034, -0.017313880737219123]
[-1.587052408350286, -1.1530610688398129]
[-1.9072869718689798, -2.118256780328362]
[-2.0433289889436512, -3.539149625428745]
[-1.349731605427156, -4.154046741628281]
[-0.2618169972566094, -2.491022332209558]
[0.35542133001545767, -3.381608068571601]
[0.6518969299149545, -2.006332449134347]
[1.7194334298958047, -2.9781460608119583]
[2.7976229891585054, -3.107075103533295]
[1.8622303966914318, -1.3529895801406195]
[1.0875244159989466, -0.4841970659761456]
[4.3562691671569205, -0.9259535958800083]
